username,edits,followers,name,questions,following,blogs,posts,topics,answers,views,address
Robert-Scoble-1|1976|78929|Robert Scoble|9|4|2|8|111|772|8.1m|Half Moon Bay, CA
Kevin-Rose|44|57879|Kevin Rose|5|97|0|0|18|16|65.6k|San Francisco
Ashton-Kutcher|103|114866|Ashton Kutcher|14|51|0|0|44|41|3.6m|
Tim-OReilly-1|1|47407|Tim O'Reilly|0|435|0|0|15|1|3k|
Evan-Williams|23|51249|Evan Williams|3|205|1|0|19|10|203k|San Francisco
Jack-Dorsey-1|0|43308|Jack Dorsey|0|188|0|0|96|0||
Jimmy-Wales|2357|327503|Jimmy Wales|29|205|1|2|37|955|56.7m|London
Biz-Stone-1|1|40999|Biz Stone|0|58|0|0|43|1|10.8k|San Francisco Bay Area
Adam-DAngelo|18987|312151|Adam D'Angelo|1006|627|16|62|369|973|27.1m|Mountain View, CA
Michael-Arrington|29|46324|Michael Arrington|0|399|1|0|43|20|283.5k|
Vitaly-Friedman|35|27387|Vitaly Friedman|5|124|0|0|41|3|7.4k|
Dave-McClure|850|49336|Dave McClure|7|392|1|3|143|226|1.7m|San Francisco Bay Area
Jason-McCabe-Calacanis|441|47400|Jason McCabe Calacanis|57|11396|2|1|156|125|5.1m|Santa Monica, CA
Matt-Cutts|21|30667|Matt Cutts|0|9|0|0|1|15|363.6k|
Leo-Laporte|2|21747|Leo Laporte|0|60|0|0|8|2||
Marc-Bodnick|276989|89590|Marc Bodnick|15252|6170|52|622|2985|7794|38.7m|Menlo Park, CA
Zee-M-Kane|36|23526|Zee M Kane|8|274|0|0|21|15|10.8k|
Balaji-Viswanathan-2|64780|399121|Balaji Viswanathan|155|326|46|2970|183|4008|237.5m|Bengaluru, Karnataka, India
Charlie-Cheever|22192|54122|Charlie Cheever|1272|3402|42|259|577|1495|6.4m|Palo Alto, CA
John-Gruber|5|26245|John Gruber|0|15|0|0|10|4|9.8k|
Oliver-Emberton|3923|116819|Oliver Emberton|17|491|7|333|518|125|15.8m|Nottingham, Nottinghamshire, UK
Yishan-Wong|9792|97119|Yishan Wong|845|509|25|181|131|1592|25.5m|San Francisco
Robert-Frost-1|37690|211515|Robert Frost|0|118|14|758|291|6008|126.7m|Texas
Steve-Case-1|61|39349|Steve Case|0|454|0|0|62|16|107.9k|
Michael-Wolfe|7206|51416|Michael Wolfe|18|464|1|17|230|1998|14.2m|San Francisco
Mark-Suster|178|38461|Mark Suster|6|450|1|0|49|71|849.3k|Los Angeles
Dave-Morin|410|40881|Dave Morin|24|426|1|0|476|117|309.3k|Mill Valley, CA
M-G-Siegler|137|30137|M.G. Siegler|4|423|2|5|45|58|223.3k|San Francisco
Jeremiah-Owyang|176|15724|Jeremiah Owyang|41|368|1|5|56|44|99.8k|
Dave-Larson|94|15093|Dave Larson|4|11780|1|0|29|21|75.5k|Minneapolis, MN
Joshua-Engel|54835|49287|Joshua Engel|101|5|12|183|59|10253|44.3m|Laurel, MD
Loic-Le-Meur|98|14406|Loic Le Meur|18|463|1|1|44|15|25.6k|San Francisco
David-S-Rose|29554|67672|David S. Rose|193|926|10|175|690|6782|32.3m|New York City
Gayle-Laakmann-McDowell|16394|134554|Gayle Laakmann McDowell|101|918|11|274|263|1125|34.4m|Palo Alto, CA
Gina-Trapani-1|23|13573|Gina Trapani|0|121|0|0|63|9|36.6k|
Keith-Rabois|1580|39116|Keith Rabois|8|304|2|1|150|520|4.8m|
Hiten-Shah|117|21128|Hiten Shah|3|4894|3|3|280|46|204.1k|Redwood Shores, CA
Mark-Zuckerberg|20|122296|Mark Zuckerberg|5|76|1|0|15|0||
Babak-Nivi|888|13190|Babak Nivi|10|24|1|19|0|31|87k|San Francisco
Jeff-Jarvis|3|12643|Jeff Jarvis|2|714|0|0|32|0||
Dick-Costolo-1|2|25098|Dick Costolo|0|24|0|0|4|1||
Marc-Andreessen|115|47723|Marc Andreessen|2|111|1|0|46|83|1.4m|
Dharmesh-Shah|140|29743|Dharmesh Shah|15|308|1|0|26|76|733k|Boston
Dustin-Moskovitz|423|57960|Dustin Moskovitz|28|43|2|0|31|74|3.1m|San Francisco
Tracy-Chou|23752|45510|Tracy Chou|679|1013|7|36|354|566|4.9m|
Ann-Handley|3|12562|Ann Handley|0|4292|0|0|24|2||
Marcus-Geduld|45575|90236|Marcus Geduld|73|298|71|5703|620|8503|50.1m|Brooklyn, NY
James-Altucher|13317|201601|James Altucher|370|10781|2|727|102|850|65m|New York City
Chris-Messina|75|14960|Chris Messina|7|362|1|0|321|21|788.2k|San Francisco
Dennis-Crowley-1|80|23427|Dennis Crowley|0|98|1|1|41|29|178.8k|
Antariksh-Bothale|3365|28871|Antariksh Bothale|19|12|2|15|55|366|4.9m|Seattle, WA
Laura-Fitton|15|10388|Laura Fitton|1|1621|0|0|169|7|20.5k|Boston
Mahesh-Murthy-1|642|52691|Mahesh Murthy|2|649|1|3|118|409|4.8m|Mumbai, Maharashtra, India
Brian-Roemmele|33444|22351|Brian Roemmele|349|9516|14|1044|406|1381|11.1m|Mojave Desert
Garrick-Saito|108890|40866|Garrick Saito|2331|288|6|1182|183|17400|66.5m|Los Angeles
Jay-Wacker|198257|39255|Jay Wacker|3699|3093|16|431|1638|3936|14.1m|Menlo Park, CA
Paul-King-2|15565|43367|Paul King|27|735|3|40|229|1614|12m|San Francisco
Ben-Parr|488|31463|Ben Parr|15|970|3|2|59|272|3.2m|San Francisco
Adam-Rifkin|3623|11491|Adam Rifkin|157|11968|1|42|4216|739|1.1m|Miley Cyrus
Robert-Love-1|4266|30574|Robert Love|9|115|1|1|130|514|7.2m|Boston
Jon-Mixon-1|68202|31909|Jon Mixon|1231|474|9|153|783|18142|82.1m|Indiana
Dave-Winer|19|8331|Dave Winer|5|3|1|2|3|3|2.1k|
David-Armano|108|8565|David Armano|11|514|1|1|23|40|60.6k|
Alexia-Tsotsis|214|25095|Alexia Tsotsis|16|121|3|39|75|35|36.6k|San Francisco
Doug-Bowman|4|8586|Doug Bowman|0|36|0|0|11|4|15.4k|San Francisco
Ryan-Carson|55|8425|Ryan Carson|3|202|0|0|31|16|72.3k|Portland, OR
Cristina-Hartmann|23340|22978|Cristina Hartmann|665|608|22|603|445|642|5.2m|San Francisco Bay Area
Edmond-Lau|4796|20937|Edmond Lau|319|603|11|71|445|287|6.1m|Palo Alto, CA
Yogesh-M-Ahire|325|8506|Yogesh M. Ahire|112|50364|1|3|186|37|45.5k|Mumbai, Maharashtra, India
Dustin-Curtis|92|8003|Dustin Curtis|4|157|0|0|48|8|42.1k|San Francisco
Kevin-Green-1|0|8525|Kevin Green|0|4202|0|0|270|0||
Mike-Butcher|21|8591|Mike Butcher|6|88|0|0|16|9|4.5k|
Tara-Hunt|45|7802|Tara Hunt|8|1375|1|0|113|17|63.4k|Toronto, ON
Mark-Hughes-1|16130|22042|Mark Hughes|63|491|17|934|97|2323|11.2m|The United States of America
Daniel-Brusilovsky|45|8041|Daniel Brusilovsky|0|7885|0|0|108|8|13.3k|San Francisco
Tristan-Walker-1|1666|20876|Tristan Walker|195|527|6|59|120|199|906.2k|Palo Alto, CA
Jason-M.-Lemkin|20864|36363|Jason M. Lemkin|71|193|5|884|135|2497|35.9m|Palo Alto, CA
Sanjay-Sabnani|16400|33061|Sanjay Sabnani|247|1554|3|23|226|3116|16.9m|Los Angeles
Umair-Haque|11|6860|Umair Haque|3|45|0|0|12|2|2.5k|
Alex-Payne|26|6640|Alex Payne|0|204|0|0|44|11|11k|Portland, OR
Deepak-Mehta-2|38002|113251|Deepak Mehta|275|238|15|1531|1368|2816|51.3m|Mumbai, Maharashtra, India
Will-Wister|131254|20619|Will Wister|4782|613|126|6490|3837|2610|11.8m|East Coast
Jessica-Su|18602|72871|Jessica Su|634|3193|12|355|207|1321|26.1m|Stanford, CA
Anders-Kaseorg|11691|23316|Anders Kaseorg|3|143|1|0|54|556|7.4m|Cambridge, MA
Feifei-Wang-6|38546|63941|Feifei Wang|240|138|15|304|209|4882|34.5m|San Diego, CA
